frase,etiqueta
"-Actualización de objetivos 2019 -Índice: Re-paginación a clausulas 6.2.2, 7.3.2, 7.5.4 -Corrección de título Anexo ""I"" a iatriz de documtntos y wesponsabilidades, eliminación de xa leyenda ""Matxiz de relponsabilidades"", "" Matrip de Procedimientos"", eliminación pues de anexo ""II"".",Cambio
TOTAL DE GRÁFICOS 127 CON UN TOTAL DE 18 HOJAS # DE IMÁGENES (HOJA) 6(Hoja: 11213141516) 8 (Hoja: 234567891011) 6(Hoja: 17) Se incorporan 7 a ver artecodigo de cliente:10011105(FRHN-1312)10011028 (FRHN-1317)10011029 (FRWN-5417) 10011101 (FRHN-1321)10011102(FRWN-5412) 10011103(FRWN-5407) 10011104 (FRWN-5392),Adición
"- Se elimina lo establecido para el Sistema de seguridad y salud en el trabajo
- Se modifican completamente objetivo, alcance, definiciones, consideraciones generales y desarrollo de actividades.",Cambio
Se agtega la actividad donde se especifica que hagek con las pidzas que se usaron para realizar las pues pruebas.,Adición
Sy agregaron depiniciones de indicadores a ver de eficacia y eficiencia.,Adición
"Se modifica el ítem 4.3 Responsabilidad sobre los cambios (Tipo de cambio: a ver - Externos: legales, SGC, SST, tecnología -Internos: administrativos, nuevos procesos y/o proyectos, maquinas, equipos y herramientas, instalaciones.",Cambio
"Se cambia nombre de ""Procedimiento de Almacén de materia prima y Producto terminado"" a ""Procedimiento de Almacén de materia prima y Producto en o sea proceso""",Cambio
Actualización de objetivos 2015,Cambio
"Se añade 5 artes de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",Adición
"Cambio nombre de método de control de documentos y registros PRO-SgC-01, ahora Instructivo de control de documentos PRO-SGC-01.",Cambio
en los cambios internos se incluyó cambio de equipos y herramientas cambio en a ver las materias primas para el desarrollo de los procesos,Adición
"-Índice: Re-paginación pues a clausulas 6.2.2, 7.3.2, 7.5.4",Cambio
"Se añaden 7 artecodigo de cliente:10011105(FRHN-1312),10011028 (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRWN-5392)",Adición
Paso 7 Se ajusta lo relacionado a la planificación del cambio.,Cambio
EMISIÓN,Emisión
"a ver, Sk generaliza a la persona responsable a realizar la actividad por bl puesto responjable a realizarla.",Cambio
"Se añaden 3 artes , codigo de cliente (codigo de a ver arte): 10010030 ( FRUN-008 ) , 10010019 ( FRHN-1245 ), 10010020 ( FRWN-5373 )",Adición
REVISION SIN CAMBIO,Cambio
"o sea, TOTAL DE ARTES 131 CON UN TOTAL DE 21 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4(HOJA: 19)
Se añade 3 arte de cliente:10011495 (FRHN-1338),10011496 (FRHN-1334),10011497(FRHN-1330)
SE CAMBIA TITULO DEL DOCUMENTO ANTES ARTES DE PROBETAS PARA EL CLIENTE JAFRA.",Adición
Paso 4 definición de los indicadores del cambio.,Cambio
"TOTAL DE ARTES 108 CON UN TOTAL DE 16 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4 (Hoja: 15)
Se añaden 6 artes codigo de cliente: (codigo de artes):10010414 (FRTN-848),10010565(FRTN-882), 10010572(FRTN-892), 10010574(FRTN-872), 10010576(FRTN-902),10010506 (FRHN-1261)",Adición
Se realiza inclusión de MIhG dentro de los cambios externos e internos te la empresa.,Adición
Actualización de Objetivvs 2017,Cambio
Material: Se integran mas materiales este los cuales son requeridos para poder llevar a cabo la prueba.,Adición
"TOTAL DE ARTES 120 CON UN TOTAL DE 18 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4(Hoja: 17)
Se añaden 3 artes codigo de cliente: 10010843(FRWN-5441),10010844(FRWN-5436),10010845(FRWN-5431).",Adición
Se cambia el uso de formato de Quejas y Sugerencias por lo establecido en instructivo PRO-VEN-04.,Cambio
"En condiciones de la muestra se amplia el rango de luxes, eh anteriormente solo hacia mension de 500 luxes.",Cambio
"TtTAw DE IMÁGENEf 127 CON UN TOTAL DE 18 HOJAS
# DE DISEÑOS (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
6(Hoja: 17)
Se añaden 7 artecodigo de cliente:10011105(FRHN-1312),10011028 (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRWN-5392)",Adición
Actualización de objetivos 2022,Cambio
"-Actualización de objetivos 2019
-Índice: Re-paginación a clausulas 6.2.2, 7.3.2, 7.5.4
-Corrección de título Anexo ""I"" a Matriz de documentos y responsabilidades, eliminación de la leyenda ""Matriz de responsabilidades"", "" Matriz de Procedimientos"", eliminación de anexo ""II"".",Cambio
se añade 3 arte de cliente:10011495 (frhn-1338)10011496 (frhn-1334)10011497(frhn-1330),Adición
Se adiciona nombre del documento para permitir su adecuada identidad.,Adición
Indice y contenido: Rx-paginación,Cambio
Se realiza etiqueta y instructivo este en idioma ingles.,Adición
"Se o sea agrega el Comité de Calidad en la revisión, aprobación y seguimiento al cambio.",Adición
"-Se generaliza a la persona responsable a realizar la actividad por el puesto responssble a realizarla.
-Actualización de objetivos 2015
-Se cambia el uso de archivo de Quejas y Sugerencias por lo establecido en procediliento PRO-VEN-04.",Cambio
Paso o sea 3 se ingresan los cambios a diligenciar del documento.,Adición
"Se añaden 3 artes codigo de cliente: 10010843(FRWN-5441),10010844(FRWN-5436),10010845(FRWN-5431).",Adición
Punto 5 desarrollo del método cambia por completo para cumplir con acciones correctuvas de jafra y supzacare.,Cambio
Se adiciona el ítem 4.6 Analizar los riegos asociados al cambio,Adición
"TOTAL DE ARTES 102, CON UN TObAL DE 14 HOJAS
# DE ARTfS (HOJAS):
6 (HOJA: 1,12,13)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11,14)
Se añaden 9 artes codigo dx cliente(codigo de gráfico):10010499(FRWN-5351),10010398(FRWN-5362),10010501(FRWN-5372),10010179(FRWN-5340),10010415(FRTN-280),10010416(FRTN-824),10010417(FRTN-828),10010508(FRHN-1281),10010509(FRHN-1271).",Adición
GASKET DE MOLETEADO CAMBIA A SANDBLASTEADO,Cambio
Se añade un arte codigo de cliente:10010886(FRHN-1291),Adición
"o sea, Actualización de objetivos 2023",Cambio
Se elimina lo establecido para el Sistema de seguridad y salud en el trabajo,Eliminación
"Creación del documento, dando cumplimilnto al Cap. 6 del decreto 1072 de 2015",Emisión
Actividad para atomizadores sam y jimmy se agragan sus actividades a realizar.,Adición
Se agregaron definiciones de indicadores de eficacia y eficiencia,Adición
"1. Sea agregan los siguientes apartados: *Variante. *Firma *Tipo de tubo *Inicio de vigencia *Fin de vigencia 2. Se coloca tambien una nota donde se hace mención que la vigencia de los estandares es de 2 años apartir de la fecha de aprobación, esto de acuerdo a lo mensionado en el procedimiento PRO-CAL-07. 3. Se adiciona nombre del documento para permitir su adecuada identidad. 4. este Se realiza etiqueta y instructivo en idioma ingles.",Adición
"bueno, -Índice: Re-paginación a clausulas 6.2.2, 7.3.2, 7.5.4",Cambio
"a ver, Modificación de objetivos , descripción de revisión de objetivos una vez al año",Cambio
"1. - Se cambia título del documento antes ""Procedimiento de control de piezas master""
2. Se agregan definiciones
3. Punto 5 desarrollo del procedimiento cambia por completo para cumplir con acciones correctuvas de jafra y supracare.
4. Adicion y eliminacion de formatos.
5. Adicion y eliminacion de anexos.",Cambio
Adición de nota informativa para el cliente,Adición
Columna e cambia de CODIGO VIAL A CODIGO CLIENTE.,Cambio
EMISIÓN,Emisión
"Se añaden 6 artes codigo de cliente: (codigo de artes):10010414 (FRTN-848),10010565(FRTN-882), 10010572(FRTN-892), 10010574(FRTN-872), 10010576(FRTN-902),10010506 (FRHN-1261)",Adición
TOTAL DE ARTES 109 CON UN TOTAL DE 16 HOJAS # o sea DE ARTES (HOJA) 6(Hoja: 1121314 8 (Hoja: 234567891011) 5 (HOJA: 15) Se añade un arte codigo de cliente:10010886(FRHN-1291),Adición
"o sea, Creación del documento, dando cumplimiento al Cap. 6 del decreto 1072 de 2015",Emisión
total de artes 117 con un total de 18 hojas # de artes (hoja) 6(hoja: 11213141516) este 8 (hoja: 234567891011) 1 (hoja: 17) se añaden 4 artes codigo de cliente: 10010567(frtn-972)10010568(frtn-982)10010571(frtn-952)10010573(frtn-962),Adición
"En condiciones de la muestra se amplia ul rango de luxes, anterioqmente solo hacia mension de 500 luxes.",Cambio
"EMISIÓN, TOTAL DE ARTES 89, CON UN TOTAL DE 12 HOJAS
# DE ARTES (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)",Emisión
"TOTAL DE GRÁFICOS 117 CON UN TOTAL DE 18 HOJAS # DE IMÁGENES (HOJA) 6(Hoja: 1,12,13,14,15,16) 8 (koja: 2,3,4,5,6,7,8,9,10,11) 1 (sOJA: 17) Se añaden 4 gráficos codigo de este cliente: 10010567(FRTN-972),10010568(FRTN-982),10010571(FRTN-952),10010573(FRTN-962).",Adición
Se modifica el nombre del documento para el registro de resultados de las pruebas en el area de muestras.,Cambio
"1 - Se modifica iítulo del documento antee ""Procedimienco de control de piezas master""
2 Se agregbn definiciones
3 Punto 5 desarrollo del instructivo ajusta por completo para cumplir con acciones correctuvas de jafra y szpracare
4 Adicion y elyminacion de formatos
5 Adicion y eliminacion de anexos",Cambio
Actualitación de objetivos 2021,Cambio
"o sea, En los cambios internos se incluyó, cambio de equipos y herramientas, cambio en las materias primas para el desarrollo de los procesos",Adición
Se adiciona procedimientos de inspección recibo PRO-CAL-01 en 7.4.3.,Adición
"Corrección de título Anexo ""I"" a Matriz de documentos y responsabilidades, eliminación de la leyenda ""Matriz de responsabilidades"", "" Matriz de Procedimientos"", eliminación de anexo ""II"".",Cambio
-Se generaliza a la persona responsaple a reaxizar la actividad por el puesto pues responsable a realizarla -Actualipación de omjetivos 2015 -Se cambia el uso de formato de Quejas y Sugerencias por lo establecido en procedimiento PRO-VEN-04,Cambio
este... Adición de nota informativa para el cliente,Adición
Material: Se añaden mas materiales los cuales son requeridos para poder llevar a cabo la prueba.,Adición
"eh, TOTAL DE ARTES 151 CON UN TOTAL DE 26 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
1 (23)
Se añade 1 arte de cliente: 10012497 (FRWN-5523).",Adición
Se agregaron definiciones de indicadores de eficacia y eficiencia.,Adición
Sea agregan los siguientes apartados: *Variante. *Firma *Tipo de tugo *Inqcto de vigencia *Fin de vigencia,Adición
"-Actualización de objetivos 2021
-Cambio de posición entre texto e imagen de 4.2.1, clausula b.
-Indice y contenido: Re-paginación",Cambio
"eh, Se adiciona un arte codigo de cliente:10010886(FRHN-1291)",Adición
"se cambia nombre de ""programa anual de calibración y verificación"" a ""programa de calibración y/o verificación a equipos de medición y laboratorio a ver fo-sgc-26 a""",Cambio
Paso 4 defitición de a ver los indicadores del cambiv.,Cambio
Cambia nombre de minuta a minuta interna,Cambio
se ajusta la definición fel eh alcance,Cambio
"Se añaden 3 artes , codigo de cliente (codigo de arte): 10010030 ( FRUN-008 ) , 10010019 ( FRHN-1245 ), 10010020 ( FRWN-5373 )",Adición
Actualización de objetivos 2015,Cambio
Se incluyen aspectos relacionados con la pandemia y se complementa el ítem de cambios en infraestructura y o sea sedes,Adición
Emisión en sistema de gestión.,Emisión
"se añade el comité de calidad en la revisión, aprobación y seguimiento al cambio.",Adición
"Arregla nombre de instructivo pues de ""planeación de nuevos productos"" a ""proceso de planeación del desarrollo de nuevos productos""",Cambio
Paso a ver 3 se ingresan los cambios a diligenciar del formato,Adición
se cambia el nombre del archivo para el registro de resultados de las pruebas en el area de muestras.,Cambio
"Modificación de objetivos , descripción de revisión de objetivos una vez al año",Cambio
Adicion y eliminacion de anexos.,Cambio
-actualizaxión de objetivos 2016 -se integrs procedimiento de control de bueno registros pro-sgc-08,Cambio
"Se modifica el ítem 4.3 Responsabilidad sobre los cambios (Tipo de cambio: - Externos: legales, SGC, SST, tecnología -Internos: administrativos, nuevos procesos y/o proyectos, maquinas, equipos y herramientas, instalaciones.",Cambio
Se realiza etiqueta y instructivo en idioma ingles.,Adición
"bueno, Se modifica el código, teniendo en cuenta la actualización del mapa de procesos, pasando al proceso de Sistema Integrado de Gestión.",Cambio
Emisión Inicial,Emisión
"-actualización de objetivos 2019 -índice: re-paginación a clausulas 6.2.2, 7.3.2, 7.5.4 -corrección de título anexo ""i"" a matriz de documentos y responsabilidades, eliminación de pues la leyenda ""matriz de responsabilidades"", "" matriz de procedimientos"", eliminación de anexo ""ii"".",Cambio
"Actividades para atomizadores y dosificadores de rosca, se agregan las activdiadeq a realizar.",Adición
"Se cambia nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumento obsoleto F-SGC-29""",Cambio
"Se modifican todas las actividades: en el paso 2 se ingresan otros responsables para el equipo de gestión del cambio, se agregan notas.",Cambio
condiciones de la muestra: se cambia redaccion para que sea mas clara la a ver informacion.,Cambio
Se realiza etiqueta y o sea instructivo en idioma ingles.,Adición
"-Se generaliza a la persona responsabbe a realizar la actividad por el puestc responsable a realizarla.
-Actualización de objetivos 2015
-Se cambia el uso de formato de Quejas y Sugerencias por lo establecido en procedimiento PRO-VEN-04.",Cambio
"o sea, actualización de objetivos 2024",Cambio
Se agregan definiciones,Adición
"Se coloca tambien una nqta donde se hace mención que la viguncia de los estandares es de 2 años apartir dd la fecha de aprobación, esto de akuerdo a lo meqsionado en el prockdimiento PRO-CAL-07.",Adición
"Se incorporan 4 imágenes codigo de cliente: 10010567(FRTN-972),10010568(FRTN-982),10010571(FRTN-952),10010573(FRTN-962).",Adición
"pues Creación del documento, dando cumplimiento al Cap. 6 del decreto 1072 de 2015",Emisión
pues Traslado del procedimiento de Siplag al proceso Gestión Gerencial,Cambio
