frase,etiqueta
"EMISIÓN, TOTAL DE ARTES 89, CON UN TOTAL DE 12 HOJAS
# DE ARTES (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)",Emisión
"TOTAL DE ARTES 92, CON UN TOTAL DE 12 HOJAS
# DE ARTES (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)
Se añaden 3 artes , codigo de cliente (codigo de arte): 10010030 ( FRUN-008 ) , 10010019 ( FRHN-1245 ), 10010020 ( FRWN-5373 )",Adición
"TOTAL DE ARTES 93, CON UN TOTAL DE 13 HOJAS
# DE ARTES (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)
Se añade 1 arte , codigo de cliente (codigo de arte): 10010097 ( FRTN-863 ).
Columna e cambia de CODIGO VIAL A CODIGO CLIENTE.",Adición
"TOTAL DE ARTES 102, CON UN TOTAL DE 14 HOJAS
# DE ARTES (HOJAS):
6 (HOJA: 1,12,13)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11,14)
Se añaden 9 artes codigo de cliente(codigo de arte):10010499(FRWN-5351),10010398(FRWN-5362),10010501(FRWN-5372),10010179(FRWN-5340),10010415(FRTN-280),10010416(FRTN-824),10010417(FRTN-828),10010508(FRHN-1281),10010509(FRHN-1271).",Adición
"TOTAL DE ARTES 108 CON UN TOTAL DE 16 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4 (Hoja: 15)
Se añaden 6 artes codigo de cliente: (codigo de artes):10010414 (FRTN-848),10010565(FRTN-882), 10010572(FRTN-892), 10010574(FRTN-872), 10010576(FRTN-902),10010506 (FRHN-1261)",Adición
"TOTAL DE ARTES 109 CON UN TOTAL DE 16 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
5 (HOJA: 15)
Se añade un arte codigo de cliente:10010886(FRHN-1291)",Adición
"TOTAL DE ARTES 113 CON UN TOTAL DE 17 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
3 (HOJA: 16)
Se añaden 4 artes codigo de cliente: 10010565(FRTN-882), 10010575(FRTN-892),10010574(FRTN-872),10010830(FRHN-1301)",Adición
"TOTAL DE ARTES 117 CON UN TOTAL DE 18 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
1 (HOJA: 17)
Se añaden 4 artes codigo de cliente: 10010567(FRTN-972),10010568(FRTN-982),10010571(FRTN-952),10010573(FRTN-962).",Adición
"TOTAL DE ARTES 120 CON UN TOTAL DE 18 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4(Hoja: 17)
Se añaden 3 artes codigo de cliente: 10010843(FRWN-5441),10010844(FRWN-5436),10010845(FRWN-5431).",Adición
"TOTAL DE ARTES 127 CON UN TOTAL DE 18 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
6(Hoja: 17)
Se añaden 7 artecodigo de cliente:10011105(FRHN-1312),10011028 (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRWN-5392)",Adición
"TOTAL DE ARTES 128 CON UN TOTAL DE 18 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
1(HOJA: 19)
Se añade 1 arte de cliente:10011027(FRHWN-5397)",Adición
"TOTAL DE ARTES 131 CON UN TOTAL DE 21 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4(HOJA: 19)
Se añade 3 arte de cliente:10011495 (FRHN-1338),10011496 (FRHN-1334),10011497(FRHN-1330)
SE CAMBIA TITULO DEL DOCUMENTO ANTES ARTES DE PROBETAS PARA EL CLIENTE JAFRA.",Adición
"TOTAL DE ARTES 136 CON UN TOTAL DE 22 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4 (HOJA: 20)
Se añade 6 arte de cliente:10011863(FRTN-1037),10011862(FRTN-1032),10011901(FRTN-1042), 10011569(FRWN-5461), 10011570(FRHN-1351), 10011661 (FRWN-5451).",Adición
"TOTAL DE ARTES 141 CON UN TOTAL DE 23 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
3 (HOJA: 21)
Se añade 5 artes de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",Adición
"TOTAL DE ARTES 150 CON UN TOTAL DE 24 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)

Se añade 9 artes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",Adición
"TOTAL DE ARTES 151 CON UN TOTAL DE 26 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
1 (23)
Se añade 1 arte de cliente: 10012497 (FRWN-5523).",Adición
EMISIÓN,Emisión
"*Adición del significado de las abreviaturas LTE, FBOG
*Adición de las opciones de aprobación de la muestra
*Adición de nota informativa para el cliente",Adición
REVISION SIN CAMBIO,Cambio
"Se elimina el dato LTE asi como signficado de la abreviatura, el termino LTE ya no se utiliza, quedando como dato correcto FBOG",Eliminación
"1. Sea agregan los siguientes apartados:
*Variante.
*Firma
*Tipo de tubo
*Inicio de vigencia
*Fin de vigencia
2. Se coloca tambien una nota donde se hace mención que la vigencia de los estandares es de 2 años apartir de la fecha de aprobación, esto de acuerdo a lo mensionado en el procedimiento PRO-CAL-07.
3. Se adiciona nombre del documento para permitir su adecuada identidad.
4. Se realiza etiqueta y instructivo en idioma ingles.",Adición
Emisión inicial,Emisión
Emisión en sistema de gestión.,Emisión
"Operacion: Cambia redaccion antes Prueba de hermeticidad (fuga en bomba).
Objetivo: Cambia redaccion antes Asegurar que los diferentes componentes utilizados en atomizadores y valvulas tengan sello evitando filtracion de liquido o granel.
Equipo de Seguridad: Se cambia el contenido antes Cofia y cubrebocas.
Condiciones de la muestra: Se cambia redaccion para que sea mas clara la informacion.
Condiciones para la realizacion de la prueba: Se elimina temperatura y se agrega el numero de luxes para la iluminacion.
Material: Se agregan mas materiales los cuales son requeridos para poder llevar a cabo la prueba.
Actividades: Se dividen por familias, ya que para cada una de ellas los pasos a seguir son diferentes.
1.- Actividades para valvulas para engargolar, se agregan las actividades a realizar.
2.-Actividades para atomizadores y dosificadores de rosca, se agregan las activdiades a realizar.
3.-Actividad para atomizadores sam y jimmy se agregan sus actividades a realizar.
Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables.",Cambio
"1.- Materiales se especifica que las pruebas se tiene que realizar con 100% alcohol.
2.- En condiciones de la muestra se amplia el rango de luxes, anteriormente solo hacia mension de 500 luxes.
2.- Se agrega la actividad donde se especifica que hacer con las piezas que se usaron para realizar las pruebas.
3.- Se cambia el nombre del formato para el registro de resultados de las pruebas en el area de muestras.
4.- Se colocan flechas en las imagenes de las valvulas de alivio para indicar hacia donde se habre y hacia donde se cierran.",Cambio
Creación del Sistema de Gestión de la Calidad,Emisión
"1. - Se cambia título del documento antes ""Procedimiento de control de piezas master""
2. Se agregan definiciones
3. Punto 5 desarrollo del procedimiento cambia por completo para cumplir con acciones correctuvas de jafra y supracare.
4. Adicion y eliminacion de formatos.
5. Adicion y eliminacion de anexos.",Cambio
"1.- Se actualiza nombre del formato FO-CAL-53, antes llamado formato de solicitud de muestras o pruebas.",Cambio
EMISION INICIAL CON LA FINALIDAD DE CONTROLAR LOS CAMBIOS QUE SE REALIZAN A LAS ETIQUETAS DE PRODUCTO TERMINADO.,Emisión
Modificación de objetivos de calidad,Cambio
"Modificación de objetivos , descripción de revisión de objetivos una vez al año",Cambio
Modificación de objetivos,Cambio
"-Se generaliza a la persona responsable a realizar la actividad por el puesto responsable a realizarla.
-Actualización de objetivos 2015
-Se cambia el uso de formato de Quejas y Sugerencias por lo establecido en procedimiento PRO-VEN-04.",Cambio
"-Actualización de Objetivos 2016
-Se Integró Procedimiento de Control de Registros PRO-SGC-08",Cambio
"-Actualización de Objetivos 2017
-Actualización de matriz de documentos y responsabilidades",Cambio
"-Actualización de objetivos 2019
-Índice: Re-paginación a clausulas 6.2.2, 7.3.2, 7.5.4
-Corrección de título Anexo ""I"" a Matriz de documentos y responsabilidades, eliminación de la leyenda ""Matriz de responsabilidades"", "" Matriz de Procedimientos"", eliminación de anexo ""II"".",Cambio
"-Actualización de objetivos 2021
-Cambio de posición entre texto e imagen de 4.2.1, clausula b.
-Indice y contenido: Re-paginación",Cambio
Actualización de objetivos 2022,Cambio
"-Cambio de formato del manual de calidad.
-Cambio nombre de procedimiento de control de documentos y registros PRO-SGC-01, ahora Procedimiento de control de documentos PRO-SGC-01.
-El Jefe se SGC queda como representante de la dirección
-Actualización de objetivos 2023
-Cambia nombre de minuta a minuta interna
-Se corrige el codigo de la medición de la competencia FO-RHU-06, antes FO-HUM-06
-Cambia nombre de procedimiento de Quejas y reclamaciones a Quejas y Sugerencias
-Cambia nombre de procedimiento de ""procedimiento de control de cambios"" a ""procedimiento de control de cambios en el producto""
-Cambia nombre de procedimiento de ""planeación de nuevos productos"" a ""procedimiento de planeación del desarrollo de nuevos productos""
-Se adiciona codigo INT-COM-01 a Instrucción de trabajo Selección, evaluación y reevaluación de proveedores.
-Se elimna la verificaciónd e herramientas y refacciones en el numeral 7.4.3.
-Se corrige redaccion de procedimiento de compras PR-COM-01.
-Se cambia nombre de ""Procedimiento de Almacén de materia prima y Producto terminado"" a ""Procedimiento de Almacén de materia prima y Producto en proceso""
-Se adiciona procedimientos de inspección recibo PRO-CAL-01 en 7.4.3.
-Se cambia nombre de ""Programa Anual de Calibración y Verificación"" a ""Programa de calibración y/o verificación a equipos de medición y laboratorio FO-SGC-26 A""
-Se cambia nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumento obsoleto F-SGC-29""
-Se cambia nombre de ""INSTRUMENTO CALIBRADO"" a ""calibración""",Cambio
"Actualización de objetivos 2024
Adición de las entradas de la revisión por la dirección de acuerdo a ISO 9001:2015.",Adición
Actualización de objetivos 2025.,Cambio
GASKET DE MOLETEADO CAMBIA A SANDBLASTEADO,Cambio
"EMISIÓN, TOTAL DE ARTES 89, CON UN TOTAL DE 12 HOJAS",Emisión
"Se añaden 3 artes , codigo de cliente (codigo de arte): 10010030 ( FRUN-008 ) , 10010019 ( FRHN-1245 ), 10010020 ( FRWN-5373 )",Adición
"Se añade 1 arte , codigo de cliente (codigo de arte): 10010097 ( FRTN-863 ).",Adición
Columna e cambia de CODIGO VIAL A CODIGO CLIENTE.,Cambio
"Se añaden 9 artes codigo de cliente(codigo de arte):10010499(FRWN-5351),10010398(FRWN-5362),10010501(FRWN-5372),10010179(FRWN-5340),10010415(FRTN-280),10010416(FRTN-824),10010417(FRTN-828),10010508(FRHN-1281),10010509(FRHN-1271).",Adición
"Se añaden 6 artes codigo de cliente: (codigo de artes):10010414 (FRTN-848),10010565(FRTN-882), 10010572(FRTN-892), 10010574(FRTN-872), 10010576(FRTN-902),10010506 (FRHN-1261)",Adición
Se añade un arte codigo de cliente:10010886(FRHN-1291),Adición
"Se añaden 4 artes codigo de cliente: 10010565(FRTN-882), 10010575(FRTN-892),10010574(FRTN-872),10010830(FRHN-1301)",Adición
"Se añaden 4 artes codigo de cliente: 10010567(FRTN-972),10010568(FRTN-982),10010571(FRTN-952),10010573(FRTN-962).",Adición
"Se añaden 3 artes codigo de cliente: 10010843(FRWN-5441),10010844(FRWN-5436),10010845(FRWN-5431).",Adición
"Se añaden 7 artecodigo de cliente:10011105(FRHN-1312),10011028 (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRWN-5392)",Adición
Se añade 1 arte de cliente:10011027(FRHWN-5397),Adición
"Se añade 3 arte de cliente:10011495 (FRHN-1338),10011496 (FRHN-1334),10011497(FRHN-1330)",Adición
SE CAMBIA TITULO DEL DOCUMENTO ANTES ARTES DE PROBETAS PARA EL CLIENTE JAFRA.,Cambio
"Se añade 6 arte de cliente:10011863(FRTN-1037),10011862(FRTN-1032),10011901(FRTN-1042), 10011569(FRWN-5461), 10011570(FRHN-1351), 10011661 (FRWN-5451).",Adición
"Se añade 5 artes de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",Adición
"Se añade 9 artes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",Adición
Se añade 1 arte de cliente: 10012497 (FRWN-5523).,Adición
"Adición del significado de las abreviaturas LTE, FBOG",Adición
Adición de las opciones de aprobación de la muestra,Adición
Adición de nota informativa para el cliente,Adición
"Sea agregan los siguientes apartados: *Variante. *Firma *Tipo de tubo *Inicio de vigencia *Fin de vigencia",Adición
"Se coloca tambien una nota donde se hace mención que la vigencia de los estandares es de 2 años apartir de la fecha de aprobación, esto de acuerdo a lo mensionado en el procedimiento PRO-CAL-07.",Adición
Se adiciona nombre del documento para permitir su adecuada identidad.,Adición
Se realiza etiqueta y instructivo en idioma ingles.,Adición
Operacion: Cambia redaccion antes Prueba de hermeticidad (fuga en bomba).,Cambio
Objetivo: Cambia redaccion antes Asegurar que los diferentes componentes utilizados en atomizadores y valvulas tengan sello evitando filtracion de liquido o granel.,Cambio
Equipo de Seguridad: Se cambia el contenido antes Cofia y cubrebocas.,Cambio
Condiciones de la muestra: Se cambia redaccion para que sea mas clara la informacion.,Cambio
Condiciones para la realizacion de la prueba: Se elimina temperatura y se agrega el numero de luxes para la iluminacion.,Eliminación
