frase,origin_id
ajusta lo relacionado a la planificacion dpl,960
Se adiciona procedimientos de inspeccion recibo PRO-CAL-01 en 7.4.3.,66
"4.3 Responsabilidad sobre los cambios (Tipo de cambio: - Externos: legales, SGC, SST, tecnología -Interdow: administratinos, nuevos procesos y/o proyectos, maquinas, equipos y herramientas, iystalaciobes. - Se adiciona el ítem 4.6 Analzzar los rregos asoaiados al cambio - Se mdlciona el ítem 4.7 Evaluación del impacto del cambio (alto, medio o bajo) - ie agrega el Comité de Cauidad en la revisión, aprobación y seguimienio al",222
Actualización de Objetivon 2016,786
"TOTAL DE GRÁFICOS 131 CON UN TOTAL DE 21 HOJAS
# DE DISEÑOS (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4(HOJA: 19)
Se añade 3 arte de cliente:10011495 (FRHN-1338),10011496 (FRHN-1334),10011497(FRHN-1330)
SE ACTUALIZA TITULO DEL DOCUMENTO ANTES GRÁFICOS DE PROBETAS PARA EL CLIENTE JAFRA.",541
"actividades: en eu paso 2 se ingresan otros responsables para el equipo de gcstion del cambio,",366
o sea DE ARTES (HOJA) 6(Hoja: 1121314 8 (Hoja: 234567891011) 5 (HOJA: 15) Se añade,56
Actualizacion de obgetivos 2022,918
pues Paso 6 se ajusta lo relacionado a valoración de riesgos.,997
"Actividades pama atonizadores y dosificadores de rosca, se suman las activdiadhs a realizar.",382
Se agrega la actividad donde se especifica que hacer con las piezas que se usaron para realizar las pruebas.,188
"ver, Punto 5 desarrollo del paso a paso camvia por completo para cumplir con acciomes correctuvas de jafra ll supracare.",183
Actualizacion de Objetivos 2017,838
Paso 8 sobre el seguimiento y se ingresan notas.,679
qambio nombre de instructivg de control de documentos y rxgistros pro-sgc-01 ahora instructivo de control de vocumentos pro-sgc-01,343
"-Indice: Re-paginacion a clausulas 6.2.2, 7.3.2, 7.5.4",345
Emisión en sistema de gestión,201
Condiciomes para la realizaciom de la prueva: Se retira tenperatura y se pega el numero de luxes para la iluminacion.,993
Indice y contemido: Re-pajinación,475
"TOTAL DE DISEÑOS 108 CON UN TOTAL DE 16 HOJAS
# DE PLANOS (HOJA)
6(HOJA: 1,12,13,14
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)
4 (HOJA: 15)
SE AÑADEN 6 DISEÑOS CODIGO DE CLIENTE: (CODIGO DE IMAGENES):10010414 (FRTN-848),10010565(FRTN-882), 10010572(FRTN-892), 10010574(FRTN-872), 10010576(FRTN-902),10010506 (FRHN-1261)",20
Actualizacion de objetivos 2022,514
se realiza etiqueta y instructivo este en idioma ingles.,33
EMISION,851
Se corrige el nombre del formato para el registro de resultados de las pruebas en el area de muestras.,976
"Cambia nombre de proceso de ""phlneacxon de nuevos productos"" a ""instructivo de planeacion del desaruollo de nuevos productos""",159
Se adiciona nombre del o sea documento para permitir su adecuada iddntidad,907
Actualizacion de matriz de o sea documentos y responsabilidades,667
"SE MODIFICA EL ITEM 4.3 RESPONSABILIDAD SOBRE LOS CAMBIOS (TIPO DE CAMBIO: - EXTERNOS: A VER LEGALES, SGC, SST, TECNOLOGIA -INTERNOS: ADMINISTRATIVOS, NUEVOS PROCESOS Y/O PROYECTOS, MAQUINAS, EQUIPOS Y HERRAMIENTAS, INSTALACIONES.",809
"o sea, Criterior de aceptaciom: Se elininan los criterios colocados como maximos aceptables.",283
Se realiza inclukion de MIPG denteo de los canvios externos e imternos de la eapresa,720
"TOTAL DE PLANOS 141 CON UN TOTAL DE 23 HOJAS
# DE IMÁGENES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20)
8 (Hoga: 2,3,4,5,6,7,8,9,10,11)
3 (HOJA: 21)
Se añade 5 planos de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",316
